order_item_id,order_id,product_id,quantity
1,100198,5005,5
2,100330,5007,4
3,100157,5002,3
4,100416,5015,3
5,100152,5050,1
6,100264,5048,2
7,100445,5014,5
8,100024,5048,5
9,100252,5002,1
10,100191,5033,4
11,100396,5020,2
12,100285,5034,4
13,100354,5022,2
14,100346,5005,1
15,100155,5021,3
16,100101,5038,5
17,100039,5014,1
18,100121,5042,5
19,100204,5003,3
20,100433,5043,3
21,100106,5047,5
22,100003,5013,5
23,100346,5047,2
24,100087,5045,3
25,100434,5039,2
26,100211,5050,3
27,100155,5014,5
28,100084,5022,4
29,100471,5003,2
30,100476,5001,3
31,100382,5039,5
32,100270,5016,1
33,100382,5007,3
34,100488,5009,5
35,100427,5001,1
36,100131,5022,3
37,100330,5026,1
38,100478,5036,5
39,100364,5018,5
40,100229,5017,2
41,100122,5016,3
42,100337,5013,1
43,100230,5003,1
44,100460,5031,1
45,100408,5046,2
46,100418,5037,5
47,100351,5010,2
48,100223,5031,1
49,100262,5005,2
50,100075,5024,5
51,100006,5034,1
52,100462,5041,3
53,100107,5042,2
54,100116,5004,3
55,100150,5001,4
56,100025,5006,2
57,100121,5010,3
58,100034,5048,2
59,100270,5015,2
60,100339,5035,3
61,100368,5006,5
62,100486,5046,5
63,100036,5014,3
64,100177,5001,3
65,100020,5044,4
66,100297,5039,2
67,100403,5025,5
68,100097,5005,2
69,100313,5030,4
70,100496,5030,2
71,100497,5016,1
72,100024,5050,5
73,100084,5046,3
74,100008,5004,5
75,100307,5030,5
76,100484,5033,3
77,100033,5039,5
78,100465,5036,4
79,100303,5006,5
80,100424,5008,1
81,100431,5019,4
82,100221,5027,4
83,100420,5037,5
84,100241,5020,1
85,100445,5012,2
86,100382,5045,4
87,100208,5034,3
88,100500,5023,2
89,100109,5006,2
90,100039,5043,5
91,100235,5020,2
92,100399,5025,3
93,100120,5034,3
94,100186,5003,4
95,100193,5038,2
96,100476,5013,5
97,100428,5028,5
98,100345,5025,2
99,100257,5022,1
100,100498,5039,1
101,100483,5011,4
102,100261,5048,3
103,100109,5006,1
104,100335,5040,4
105,100328,5034,2
106,100068,5005,2
107,100207,5007,4
108,100116,5025,4
109,100206,5015,5
110,100309,5002,5
111,100267,5020,4
112,100489,5006,4
113,100204,5008,2
114,100343,5011,2
115,100017,5023,4
116,100148,5004,2
117,100379,5011,2
118,100409,5007,4
119,100133,5019,2
120,100192,5024,5
121,100387,5039,2
122,100243,5045,4
123,100344,5011,3
124,100360,5013,1
125,100204,5037,3
126,100258,5049,5
127,100159,5024,5
128,100285,5046,2
129,100266,5005,2
130,100411,5015,5
131,100037,5042,1
132,100233,5018,4
133,100145,5031,4
134,100028,5048,4
135,100369,5025,1
136,100110,5048,5
137,100406,5030,1
138,100185,5036,5
139,100251,5005,5
140,100025,5004,3
141,100267,5038,3
142,100068,5041,4
143,100450,5009,5
144,100179,5007,4
145,100348,5031,4
146,100216,5040,1
147,100011,5039,1
148,100295,5025,1
149,100197,5022,1
150,100414,5023,2
151,100459,5009,4
152,100437,5047,2
153,100406,5039,2
154,100034,5025,2
155,100263,5010,4
156,100229,5025,5
157,100067,5049,4
158,100019,5015,3
159,100435,5027,3
160,100357,5034,1
161,100067,5017,2
162,100173,5046,1
163,100245,5003,4
164,100117,5049,3
165,100203,5043,5
166,100362,5031,4
167,100478,5041,3
168,100117,5032,4
169,100043,5011,5
170,100351,5014,2
171,100339,5001,2
172,100434,5036,5
173,100008,5044,1
174,100047,5040,2
175,100273,5049,5
176,100216,5002,1
177,100024,5022,3
178,100444,5018,4
179,100210,5044,5
180,100383,5005,5
181,100129,5018,3
182,100050,5037,4
183,100073,5035,1
184,100252,5014,5
185,100115,5015,2
186,100092,5022,4
187,100441,5030,5
188,100260,5001,5
189,100145,5017,1
190,100290,5033,2
191,100052,5036,3
192,100193,5026,3
193,100434,5028,4
194,100017,5023,2
195,100274,5039,5
196,100416,5029,5
197,100073,5043,2
198,100337,5026,3
199,100403,5015,2
200,100490,5012,2
201,100316,5013,4
202,100185,5034,5
203,100474,5043,5
204,100498,5049,4
205,100389,5042,5
206,100299,5037,5
207,100434,5035,4
208,100211,5004,4
209,100170,5007,1
210,100043,5004,5
211,100471,5020,2
212,100483,5041,5
213,100131,5016,3
214,100371,5012,2
215,100163,5026,3
216,100092,5030,2
217,100042,5029,5
218,100346,5002,5
219,100015,5018,4
220,100240,5015,4
221,100492,5045,1
222,100468,5014,5
223,100390,5009,1
224,100172,5025,3
225,100473,5011,4
226,100355,5030,4
227,100303,5010,1
228,100032,5030,3
229,100397,5041,3
230,100057,5019,3
231,100419,5034,4
232,100346,5008,1
233,100056,5015,5
234,100191,5046,3
235,100049,5017,5
236,100238,5015,5
237,100206,5045,3
238,100493,5001,4
239,100094,5041,2
240,100251,5020,5
241,100382,5027,2
242,100337,5014,2
243,100004,5005,4
244,100058,5001,1
245,100015,5036,2
246,100138,5045,4
247,100008,5045,3
248,100234,5024,3
249,100053,5024,2
250,100415,5019,1
251,100008,5008,4
252,100179,5047,5
253,100104,5046,1
254,100205,5011,5
255,100242,5025,1
256,100161,5038,4
257,100115,5010,1
258,100270,5032,2
259,100187,5035,1
260,100166,5034,3
261,100403,5011,1
262,100134,5048,3
263,100078,5015,5
264,100485,5005,1
265,100450,5003,4
266,100317,5014,5
267,100427,5049,1
268,100004,5024,1
269,100180,5023,5
270,100314,5023,5
271,100048,5010,2
272,100124,5005,4
273,100209,5047,5
274,100155,5010,3
275,100038,5021,3
276,100442,5044,3
277,100438,5015,2
278,100382,5041,2
279,100117,5016,1
280,100215,5044,4
281,100186,5013,5
282,100212,5020,1
283,100304,5022,2
284,100297,5002,4
285,100141,5021,1
286,100304,5021,3
287,100044,5030,3
288,100279,5024,4
289,100045,5048,4
290,100116,5011,4
291,100255,5036,5
292,100069,5036,2
293,100132,5019,3
294,100179,5012,4
295,100399,5005,5
296,100259,5031,3
297,100143,5037,4
298,100064,5028,4
299,100272,5011,5
300,100290,5020,1
301,100282,5007,4
302,100375,5027,1
303,100199,5003,3
304,100334,5024,5
305,100220,5035,3
306,100327,5028,2
307,100432,5040,4
308,100446,5014,5
309,100344,5024,4
310,100091,5031,5
311,100189,5044,2
312,100111,5013,2
313,100172,5024,3
314,100011,5039,1
315,100123,5008,5
316,100112,5008,3
317,100124,5033,3
318,100407,5049,4
319,100270,5001,4
320,100254,5012,4
321,100308,5050,4
322,100270,5006,5
323,100398,5009,4
324,100492,5027,4
325,100285,5020,5
326,100430,5031,2
327,100416,5035,2
328,100067,5021,4
329,100024,5008,3
330,100399,5020,3
331,100225,5019,1
332,100438,5027,4
333,100127,5037,3
334,100333,5007,3
335,100119,5031,5
336,100126,5039,5
337,100260,5032,1
338,100348,5046,3
339,100299,5014,1
340,100388,5025,4
341,100331,5013,1
342,100443,5044,5
343,100424,5020,4
344,100489,5012,3
345,100079,5010,1
346,100429,5027,5
347,100046,5010,1
348,100251,5038,5
349,100285,5033,5
350,100226,5015,3
351,100202,5041,3
352,100434,5003,5
353,100237,5027,4
354,100058,5043,4
355,100448,5006,2
356,100281,5032,1
357,100131,5012,1
358,100349,5004,4
359,100052,5038,2
360,100298,5044,2
361,100002,5027,2
362,100128,5006,1
363,100279,5027,3
364,100447,5033,2
365,100174,5048,4
366,100322,5025,3
367,100332,5018,5
368,100210,5016,4
369,100429,5012,2
370,100378,5042,3
371,100447,5027,5
372,100471,5029,5
373,100023,5034,5
374,100005,5047,5
375,100309,5046,5
376,100447,5036,4
377,100303,5047,5
378,100190,5034,3
379,100262,5041,3
380,100006,5006,4
381,100414,5018,5
382,100433,5025,4
383,100259,5016,5
384,100492,5007,3
385,100147,5021,1
386,100147,5024,2
387,100342,5013,3
388,100104,5015,3
389,100369,5003,2
390,100435,5012,2
391,100381,5005,5
392,100232,5017,3
393,100298,5031,5
394,100413,5002,3
395,100402,5013,3
396,100074,5021,5
397,100263,5017,2
398,100120,5046,5
399,100361,5017,1
400,100191,5042,1
401,100140,5020,2
402,100040,5037,1
403,100454,5019,1
404,100042,5020,5
405,100002,5044,1
406,100313,5011,2
407,100272,5032,5
408,100284,5007,1
409,100462,5038,5
410,100447,5018,2
411,100439,5013,2
412,100397,5021,2
413,100047,5026,4
414,100134,5005,2
415,100315,5034,5
416,100411,5049,3
417,100222,5001,4
418,100396,5039,4
419,100456,5047,1
420,100151,5011,1
421,100363,5010,1
422,100379,5037,3
423,100083,5032,5
424,100015,5022,3
425,100178,5040,4
426,100180,5046,2
427,100392,5032,5
428,100043,5046,5
429,100080,5032,5
430,100082,5031,4
431,100188,5018,4
432,100271,5036,5
433,100139,5015,1
434,100154,5010,5
435,100207,5006,5
436,100086,5034,1
437,100466,5010,4
438,100230,5050,2
439,100075,5042,2
440,100099,5010,4
441,100410,5033,3
442,100366,5020,3
443,100056,5044,4
444,100395,5018,5
445,100279,5031,5
446,100362,5048,1
447,100083,5024,2
448,100078,5024,5
449,100198,5031,3
450,100266,5025,1
451,100129,5044,1
452,100170,5037,4
453,100477,5006,5
454,100210,5013,5
455,100415,5034,3
456,100394,5003,5
457,100220,5042,3
458,100443,5021,2
459,100120,5037,5
460,100092,5011,3
461,100360,5045,3
462,100073,5030,1
463,100225,5041,2
464,100392,5047,5
465,100141,5031,3
466,100261,5049,3
467,100393,5017,1
468,100480,5001,4
469,100094,5037,3
470,100186,5044,5
471,100300,5016,1
472,100231,5009,1
473,100140,5011,3
474,100292,5022,5
475,100418,5041,1
476,100337,5030,4
477,100451,5031,3
478,100231,5040,1
479,100324,5029,2
480,100356,5026,1
481,100152,5014,1
482,100291,5023,1
483,100288,5017,3
484,100136,5041,4
485,100077,5044,2
486,100289,5036,2
487,100006,5028,1
488,100371,5009,1
489,100253,5031,4
490,100135,5005,3
491,100106,5007,4
492,100466,5034,4
493,100221,5007,4
494,100370,5033,4
495,100200,5005,3
496,100066,5048,5
497,100056,5004,3
498,100392,5039,5
499,100054,5005,1
500,100464,5018,5
501,100385,5033,5
502,100224,5031,1
503,100039,5001,2
504,100223,5041,3
505,100022,5037,3
506,100090,5016,4
507,100136,5022,4
508,100162,5038,3
509,100068,5029,4
510,100295,5039,2
511,100470,5025,1
512,100493,5027,1
513,100162,5045,4
514,100036,5009,2
515,100112,5018,2
516,100201,5021,4
517,100402,5019,2
518,100018,5039,5
519,100286,5013,4
520,100418,5048,2
521,100037,5021,4
